atlas_id,region,region_name,site_code,location,lat_dmm,lon_dmm,lat,lon,species_codes,species,count_class,tidal_use,tidal_use_full,description
81,3,Grays Harbor,03.11,NW of Sand Island,46 57.68,124 03.99,46.96133,-124.0665,PV,Harbor Seal,<100,LOW,Low tide,Shoals west of Sand Island during pupping season.
82,3,Grays Harbor,03.12,S Side of Goose Island,46 58.56,124 03.85,46.976,-124.06417,PV,Harbor Seal,100-500,LOW,Low tide,Along channel on the south side of Goose Island. Nursery area.
83,3,Grays Harbor,03.13,NW End of Goose Island,46 58.91,124 04.27,46.98183,-124.07117,PV,Harbor Seal,<100,LOW,Low tide,Northwest tip of Goose Island during pupping season.
84,3,Grays Harbor,03.14,East Bay/Chenois Creek,46 59.93,124 02.78,46.99883,-124.04633,PV,Harbor Seal,<100,LOW,Low tide,Along Chenois Creek channel during pupping season.
85,3,Grays Harbor,03.14,East Bay/Chenois Creek,47 01.47,124 02.73,47.0245,-124.0455,PV,Harbor Seal,<100,LOW,Low tide,Along Chenois Creek channel during pupping season.
86,3,Grays Harbor,03.14,East Bay/Chenois Creek,47 01.39,124 02.09,47.02317,-124.03483,PV,Harbor Seal,<100,LOW,Low tide,Along Chenois Creek channel during pupping season.
87,3,Grays Harbor,03.14,East Bay/Chenois Creek,47 00.79,124 02.06,47.01317,-124.03433,PV,Harbor Seal,<100,LOW,Low tide,Along Chenois Creek channel during pupping season.
88,3,Grays Harbor,03.14,East Bay/Chenois Creek,47 00.45,124 02.32,47.0075,-124.03867,PV,Harbor Seal,<100,LOW,Low tide,Along Chenois Creek channel during pupping season.
89,3,Grays Harbor,03.15,East Bay/Small Channel,47 00.27,124 02.92,47.0045,-124.04867,PV,Harbor Seal,100-500,LOW,Low tide,Along small deadend channel in East Bay. Nursery area.
90,3,Grays Harbor,03.16,East Bay/Main Channel,47 00.78,124 03.05,47.013,-124.05083,PV,Harbor Seal,<100,LOW,Low tide,Along main channel in East Bay during pupping season.
91,3,Grays Harbor,03.17,Shoals NW of Goose Island,46 59.23,124 04.66,46.98717,-124.07767,PV,Harbor Seal,<100,LOW,Low tide,Along channel in shoals northwest of Goose Island during pupping season.
92,3,Grays Harbor,03.17,Shoals NW of Goose Island,46 59.65,124 05.98,46.99417,-124.09967,PV,Harbor Seal,100-500,LOW,Low tide,Along channel in shoal northwest of Goose Island.
93,3,Grays Harbor,03.18,Shoals E of Ocean Shores,46 58.09,124 07.59,46.96817,-124.1265,PV,Harbor Seal,100-500,LOW,Low tide,Shoals along channel east of Oyehut/Ocean Shores. Nursery area.
94,3,Grays Harbor,03.19,N of Campbell Slough,47 00.45,124 05.91,47.0075,-124.0985,PV,Harbor Seal,<100,LOW,Low tide,Mud flats along Campbell Slough during pupping season.
95,3,Grays Harbor,03.20,North Bay/West Channel,47 01.15,124 06.59,47.01917,-124.10983,PV,Harbor Seal,100-500,LOW,Low tide,Mud flats along the west channel into North Bay. Nursery area.
96,3,Grays Harbor,03.20,North Bay/West Channel,47 01.54,124 07.01,47.02567,-124.11683,PV,Harbor Seal,<100,LOW,Low tide,Mud flats along the west channel into North Bay. Nursery area.
97,3,Grays Harbor,03.20,North Bay/West Channel,47 00.82,124 05.89,47.01367,-124.09817,PV,Harbor Seal,100-500,LOW,Low tide,Mud flats along the west channel into North Bay. Nursery area.
98,3,Grays Harbor,03.21,North Bay/East Channel,47 01.92,124 05.54,47.032,-124.09233,PV,Harbor Seal,<100,LOW,Low tide,Mud flats along the east channel into North Bay. Nursery area.
99,3,Grays Harbor,03.21,North Bay/East Channel,47 01.55,124 05.72,47.02583,-124.09533,PV,Harbor Seal,100-500,LOW,Low tide,Mud flats along the east channel into North Bay.
100,3,Grays Harbor,03.21,North Bay/East Channel,47 01.21,124 05.45,47.02017,-124.09083,PV,Harbor Seal,<100,LOW,Low tide,Mud flats along the east channel into North Bay. Nursery area.
101,3,Grays Harbor,03.22,North Bay/NW Channel,47 01.36,124 08.17,47.02267,-124.13617,PV,Harbor Seal,<100,LOW,Low tide,Mud flats along the northwest most channel into North Bay during pupping season.
102,4,Olympic Coast-South,04.01,Cape Elizabeth,47 21.32,124 19.19,47.35533,-124.31983,PV,Harbor Seal,100-500,LOW,Low tide,Intertidal reef areas off Cape Elizabeth.
103,4,Olympic Coast-South,04.02,S of Split Rock,47 23.99,124 21.58,47.39983,-124.35967,"EJ,ZC",Steller Sea Lion; California Sea Lion,100-500,ALL,All tidal states,Unnamed rock (USFWS ID 535) south of Spit Rock.
104,4,Olympic Coast-South,04.03,Split Rock Area,47 24.39,124 21.76,47.4065,-124.36267,"EJ,ZC",Steller Sea Lion; California Sea Lion,100-500,ALL,All tidal states,Along the west and south sides of Split Rock.
105,4,Olympic Coast-South,04.03,Split Rock Area,47 24.44,124 21.50,47.40733,-124.35833,EJ,Steller Sea Lion,<100,ALL,All tidal states,Small intertidal rock (USFWS ID 533) to east of Split Rock.
